ticker,asset_class,sector_gics,etf_proxy,source,note
DENN,stock,Consumer Discretionary,XLY,llm,
DEO,stock,Consumer Staples,XLP,yfinance,
DEST,stock,Consumer Discretionary,XLY,llm,
DFIN,stock,Information Technology,XLK,yfinance,
DFKCY,stock,Industrials,XLI,yfinance,
DFRG,stock,Consumer Discretionary,XLY,llm,
DFS,stock,Financials,XLF,llm,
DG,stock,Consumer Staples,XLP,yfinance,
DGI,stock,Industrials,XLI,llm,
DGNR,unknown,,,none,
DGRO,etf_broad,,DGRO,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
DGRS,stock,Financials,XLF,llm,
DGX,stock,Health Care,XLV,yfinance,
DHI,stock,Consumer Discretionary,XLY,yfinance,
DHLGY,stock,Industrials,XLI,yfinance,
DHOM,stock,Consumer Discretionary,XLY,llm,
DHR,stock,Health Care,XLV,yfinance,
DHS,stock,Financials,XLF,llm,
DHX,stock,Information Technology,XLK,yfinance,
DIA,etf_broad,,DIA,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
DIAL,stock,Financials,XLF,llm,
DIFTY,stock,Real Estate,XLRE,yfinance,
DIISY,stock,Information Technology,XLK,llm,
DIN,stock,Consumer Discretionary,XLY,yfinance,
DINO,stock,Energy,XLE,yfinance,
DIOD,stock,Information Technology,XLK,yfinance,
DIS,stock,Communication Services,XLC,yfinance,
DISCA,stock,Communication Services,XLC,llm,
DISCK,stock,Communication Services,XLC,llm,
DISH,stock,Communication Services,XLC,llm,
DIV,stock,Financials,XLF,llm,
DJO,stock,Health Care,XLV,llm,
DJT,stock,Communication Services,XLC,yfinance,
DK,stock,Energy,XLE,yfinance,
DKILY,stock,Industrials,XLI,yfinance,
DKNG,stock,Consumer Discretionary,XLY,yfinance,
DKS,stock,Consumer Discretionary,XLY,yfinance,
DLAKY,stock,Industrials,XLI,yfinance,
DLB,stock,Industrials,XLI,yfinance,
DLICY,stock,Financials,XLF,yfinance,
DLPH,stock,Consumer Discretionary,XLY,llm,
DLR,stock,Real Estate,XLRE,yfinance,
DLS,stock,Financials,XLF,llm,
DLTR,stock,Consumer Staples,XLP,yfinance,
DLX,stock,Industrials,XLI,yfinance,
DM,stock,Industrials,XLI,llm,
DMLP,stock,Energy,XLE,yfinance,
DMRC,stock,Information Technology,XLK,yfinance,
DMTK,stock,Health Care,XLV,llm,
DNAY,stock,Health Care,XLV,llm,
DNB,stock,Industrials,XLI,llm,
DNBBY,stock,Financials,XLF,yfinance,
DNFGY,stock,Energy,XLE,llm,
DNHBY,stock,Health Care,XLV,llm,
DNKN,stock,Consumer Discretionary,XLY,llm,
DNNGY,stock,Utilities,XLU,yfinance,
DNO,stock,Energy,XLE,llm,
DNOW,stock,Industrials,XLI,yfinance,
DNPLY,stock,Industrials,XLI,yfinance,
DNR,stock,Energy,XLE,llm,
DNSKY,stock,Industrials,XLI,llm,
DNTUY,stock,Communication Services,XLC,yfinance,
DNUT,stock,Consumer Staples,XLP,yfinance,
DNZOY,stock,Consumer Discretionary,XLY,yfinance,
DO,stock,Energy,XLE,llm,
DOC,stock,Real Estate,XLRE,yfinance,
DOCS,stock,Health Care,XLV,yfinance,
DOCU,stock,Information Technology,XLK,yfinance,
DOM,stock,Utilities,XLU,llm,
DOMA,stock,Real Estate,XLRE,llm,
DOMO,stock,Information Technology,XLK,yfinance,
DOOR,stock,Industrials,XLI,llm,
DORM,stock,Consumer Discretionary,XLY,yfinance,
DOV,stock,Industrials,XLI,yfinance,
DOW,stock,Materials,XLB,yfinance,
DOX,stock,Information Technology,XLK,yfinance,
DPG,stock,Financials,XLF,yfinance,
DPLO,stock,Industrials,XLI,llm,
DPM,stock,Energy,XLE,llm,
DPS,stock,Consumer Staples,XLP,llm,
DPSGY,stock,Consumer Staples,XLP,llm,
DPZ,stock,Consumer Discretionary,XLY,yfinance,
DQ,stock,Information Technology,XLK,yfinance,
DQJCY,stock,Consumer Staples,XLP,yfinance,
DRAD,stock,Health Care,XLV,llm,
DRD,stock,Materials,XLB,yfinance,
DRE,stock,Real Estate,XLRE,llm,
DRH,stock,Real Estate,XLRE,yfinance,
DRI,stock,Consumer Discretionary,XLY,yfinance,
DRII,stock,Industrials,XLI,llm,
DRPRY,stock,Consumer Discretionary,XLY,yfinance,
DRQ,stock,Energy,XLE,llm,
DRS,stock,Industrials,XLI,yfinance,
DRYS,stock,Industrials,XLI,llm,
DSCO,stock,Health Care,XLV,llm,
DSCSY,stock,Information Technology,XLK,yfinance,
DSDVY,stock,Industrials,XLI,yfinance,
DSEY,stock,Health Care,XLV,llm,
DSGX,stock,Information Technology,XLK,yfinance,
DSKY,stock,Consumer Discretionary,XLY,llm,
DSKYF,stock,Health Care,XLV,yfinance,
DSNKY,stock,Health Care,XLV,yfinance,
DSS,stock,Consumer Discretionary,XLY,yfinance,
DST,stock,Financials,XLF,llm,
DSU,stock,Financials,XLF,yfinance,
DSW,stock,Consumer Discretionary,XLY,llm,
DT,stock,Information Technology,XLK,yfinance,
DTD,stock,Industrials,XLI,llm,
DTE,stock,Utilities,XLU,yfinance,
DTEGY,stock,Communication Services,XLC,yfinance,
DTM,stock,Energy,XLE,yfinance,
DTN,stock,Energy,XLE,llm,
DTO,unknown,,,none,
DTRUY,stock,Industrials,XLI,yfinance,
DTSI,stock,Information Technology,XLK,llm,
DTV,stock,Communication Services,XLC,llm,
DTY,stock,Utilities,XLU,llm,
DUK,stock,Utilities,XLU,yfinance,
DUKH,stock,Utilities,XLU,llm,
DUOL,stock,Information Technology,XLK,yfinance,
DURA,stock,Consumer Discretionary,XLY,llm,
DUSA,stock,Information Technology,XLK,llm,
DVA,stock,Health Care,XLV,yfinance,
DVFAX,unknown,,,none,
DVMT,stock,Information Technology,XLK,llm,
DVN,stock,Energy,XLE,yfinance,
DVY,etf_broad,,DVY,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
DWAC,stock,Communication Services,XLC,llm,
DWAHY,stock,Real Estate,XLRE,yfinance,
DWDP,stock,Materials,XLB,llm,
DWTI,unknown,,,none,
DWX,stock,Financials,XLF,llm,
DXC,stock,Information Technology,XLK,yfinance,
DXCM,stock,Health Care,XLV,yfinance,
DXLG,stock,Consumer Discretionary,XLY,yfinance,
DXTR,stock,Health Care,XLV,llm,
DY,stock,Industrials,XLI,yfinance,
E,stock,Energy,XLE,yfinance,
EA,stock,Communication Services,XLC,yfinance,
EADSY,stock,Industrials,XLI,yfinance,
EAF,stock,Industrials,XLI,yfinance,
EASTW,stock,Utilities,XLU,llm,
EAT,stock,Consumer Discretionary,XLY,yfinance,
EBAY,stock,Consumer Discretionary,XLY,yfinance,
EBF,stock,Industrials,XLI,yfinance,
EBKDY,stock,Financials,XLF,yfinance,
EBS,stock,Health Care,XLV,yfinance,
EBSB,stock,Financials,XLF,llm,
EC,stock,Energy,XLE,yfinance,
ECA,stock,Energy,XLE,llm,
ECHO,stock,Communication Services,XLC,yfinance,
ECIFY,stock,Financials,XLF,llm,
ECL,stock,Materials,XLB,yfinance,
ECOL,stock,Industrials,XLI,llm,
ECOM,stock,Consumer Discretionary,XLY,llm,
ECPG,stock,Financials,XLF,yfinance,
ED,stock,Utilities,XLU,yfinance,
EDAC,stock,Industrials,XLI,llm,
EDIT,stock,Health Care,XLV,yfinance,
EDPFY,stock,Utilities,XLU,yfinance,
EDR,stock,Real Estate,XLRE,manuel,Education Realty Trust — REIT ; classification LLM « Communication » erronée (corrigé 2026-08-11)
EDU,stock,Consumer Staples,XLP,yfinance,
EEFT,stock,Information Technology,XLK,yfinance,
EEI,stock,Utilities,XLU,llm,
EELV,stock,Consumer Staples,XLP,llm,
EEM,etf_broad,,EEM,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
EEP,stock,Energy,XLE,llm,
EEQ,stock,Energy,XLE,llm,
EEX,stock,Communication Services,XLC,yfinance,
EFA,etf_broad,,EFA,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
EFAD,unknown,,,none,
EFAV,stock,Financials,XLF,llm,
EFC,stock,Real Estate,XLRE,yfinance,
EFG,stock,Financials,XLF,llm,
EFTD,unknown,,,none,
EFV,stock,Financials,XLF,llm,
EFX,stock,Industrials,XLI,yfinance,
EG,stock,Financials,XLF,yfinance,
EGBN,stock,Financials,XLF,yfinance,
EGGF,stock,Financials,XLF,llm,
EGHT,stock,Information Technology,XLK,yfinance,
EGIEY,stock,Utilities,XLU,yfinance,
EGIO,stock,Health Care,XLV,llm,
EGN,stock,Energy,XLE,llm,
EGO,stock,Materials,XLB,yfinance,
EGP,stock,Real Estate,XLRE,yfinance,
EGY,stock,Energy,XLE,yfinance,
EHC,stock,Health Care,XLV,yfinance,
EI,stock,Real Estate,XLRE,llm,
EIBLX,unknown,,,none,
EIG,stock,Financials,XLF,yfinance,
EIPI,unknown,,,none,
EIR,unknown,,,none,
EIS,stock,Financials,XLF,llm,
EIX,stock,Utilities,XLU,yfinance,
EJPRY,stock,Industrials,XLI,yfinance,
EKO,unknown,,,none,
EL,stock,Consumer Staples,XLP,yfinance,
ELA,stock,Consumer Discretionary,XLY,yfinance,
ELAN,stock,Health Care,XLV,yfinance,
ELAS,unknown,,,none,
ELF,stock,Consumer Staples,XLP,yfinance,
ELGX,stock,Health Care,XLV,llm,
ELLI,stock,Information Technology,XLK,llm,
ELLO,stock,Utilities,XLU,yfinance,
ELN,stock,Health Care,XLV,llm,
ELNK,stock,Communication Services,XLC,llm,
ELOT,stock,Consumer Discretionary,XLY,llm,
ELPC,stock,Utilities,XLU,yfinance,
ELRC,stock,Information Technology,XLK,llm,
ELS,stock,Real Estate,XLRE,yfinance,
ELUXY,stock,Consumer Discretionary,XLY,yfinance,
ELV,stock,Health Care,XLV,yfinance,
ELVN,stock,Health Care,XLV,yfinance,
ELX,stock,Information Technology,XLK,llm,
EMA,stock,Utilities,XLU,yfinance,
EMB,unknown,,,none,
EMC,stock,Information Technology,XLK,llm,
EME,stock,Industrials,XLI,yfinance,
EMEX,stock,Energy,XLE,llm,
EMF,stock,Financials,XLF,yfinance,
EMGF,stock,Financials,XLF,llm,
EMKR,stock,Information Technology,XLK,llm,
EMLC,unknown,,,none,
EMLP,stock,Energy,XLE,llm,
EMN,stock,Materials,XLB,yfinance,
EMR,stock,Industrials,XLI,yfinance,
EMRZX,unknown,,,none,
EMXC,stock,Financials,XLF,llm,
ENB,stock,Energy,XLE,yfinance,
ENBL,stock,Energy,XLE,llm,
ENBP,stock,Financials,XLF,yfinance,
ENDG,stock,Health Care,XLV,llm,
ENERQ,stock,Energy,XLE,llm,
ENGGY,stock,Utilities,XLU,yfinance,
ENGIY,stock,Utilities,XLU,yfinance,
ENGQF,stock,Utilities,XLU,yfinance,
ENH,stock,Financials,XLF,llm,
ENLAY,stock,Utilities,XLU,yfinance,
ENLC,stock,Energy,XLE,llm,
ENLK,stock,Energy,XLE,llm,
ENOB,stock,Health Care,XLV,llm,
ENPH,stock,Information Technology,XLK,yfinance,
ENR,stock,Industrials,XLI,yfinance,
ENS,stock,Industrials,XLI,yfinance,
ENSG,stock,Health Care,XLV,yfinance,
ENTA,stock,Health Care,XLV,yfinance,
ENTG,stock,Information Technology,XLK,yfinance,
ENTL,stock,Industrials,XLI,llm,
ENTR,stock,Consumer Discretionary,XLY,llm,
ENV,stock,Financials,XLF,llm,
ENVA,stock,Financials,XLF,yfinance,
ENVX,stock,Industrials,XLI,yfinance,
ENZY,stock,Health Care,XLV,llm,
EOAN,stock,Utilities,XLU,llm,
EOG,stock,Energy,XLE,yfinance,
EOLS,stock,Health Care,XLV,yfinance,
EONGY,stock,Utilities,XLU,yfinance,
EPAC,stock,Industrials,XLI,yfinance,
EPAM,stock,Information Technology,XLK,yfinance,
EPAY,stock,Information Technology,XLK,llm,
EPD,stock,Energy,XLE,yfinance,
EPOKY,stock,Financials,XLF,llm,
EPP,stock,Real Estate,XLRE,llm,
EPR,stock,Real Estate,XLRE,yfinance,
EPRT,stock,Real Estate,XLRE,yfinance,
EPTG,stock,Energy,XLE,llm,
EQC,stock,Real Estate,XLRE,llm,
EQGP,stock,Energy,XLE,llm,
EQH,stock,Financials,XLF,yfinance,
EQIX,stock,Real Estate,XLRE,yfinance,
EQM,stock,Energy,XLE,llm,
EQNR,stock,Energy,XLE,yfinance,
EQR,stock,Real Estate,XLRE,yfinance,
EQT,stock,Energy,XLE,yfinance,
EQV,unknown,,,none,
ERA,stock,Industrials,XLI,llm,
ERAS,stock,Health Care,XLV,yfinance,
ERH,stock,Financials,XLF,yfinance,
ERI,stock,Consumer Discretionary,XLY,llm,
ERIC,stock,Information Technology,XLK,yfinance,
ERIE,stock,Financials,XLF,yfinance,
ERII,stock,Industrials,XLI,yfinance,
ERJ,stock,Industrials,XLI,llm,
ERKA,unknown,,,none,
ERTS,stock,Communication Services,XLC,llm,
ES,stock,Utilities,XLU,yfinance,
ESALY,stock,Consumer Staples,XLP,llm,
ESE,stock,Information Technology,XLK,yfinance,
ESGC,stock,Financials,XLF,llm,
ESGR,stock,Financials,XLF,llm,
ESGU,stock,Information Technology,XLK,llm,
ESI,stock,Materials,XLB,yfinance,
ESL,stock,Consumer Discretionary,XLY,llm,
ESLOY,stock,Health Care,XLV,yfinance,
ESNT,stock,Financials,XLF,yfinance,
ESRT,stock,Real Estate,XLRE,yfinance,
ESRX,stock,Health Care,XLV,llm,
ESS,stock,Real Estate,XLRE,yfinance,
ESTC,stock,Information Technology,XLK,yfinance,
ESTE,stock,Energy,XLE,llm,
ESV,stock,Energy,XLE,llm,
ET,stock,Energy,XLE,yfinance,
ETAK,stock,Information Technology,XLK,llm,
ETE,stock,Energy,XLE,llm,
ETFC,stock,Financials,XLF,llm,
ETG,stock,Financials,XLF,yfinance,
ETHE,etf_broad,,ETHE,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
ETHZ,unknown,,,none,
ETM,stock,Communication Services,XLC,llm,
ETN,stock,Industrials,XLI,yfinance,
ETOR,stock,Financials,XLF,yfinance,
ETP,stock,Energy,XLE,llm,
ETR,stock,Utilities,XLU,yfinance,
ETRN,stock,Energy,XLE,llm,
ETSY,stock,Consumer Discretionary,XLY,yfinance,
ETV,stock,Financials,XLF,yfinance,
ETWO-W,stock,Information Technology,XLK,llm,
ETY,stock,Financials,XLF,yfinance,
EUO,unknown,,,none,
EURO,unknown,,,none,
EV,stock,Financials,XLF,llm,
EVBG,stock,Information Technology,XLK,llm,
EVEP,stock,Energy,XLE,llm,
EVEX,stock,Industrials,XLI,yfinance,
EVH,stock,Health Care,XLV,yfinance,
EVHC,stock,Health Care,XLV,llm,
EVOP,stock,Information Technology,XLK,llm,
EVR,stock,Financials,XLF,yfinance,
EVRG,stock,Utilities,XLU,yfinance,
EVRI,stock,Information Technology,XLK,llm,
EVT,stock,Financials,XLF,yfinance,
EVTC,stock,Information Technology,XLK,yfinance,
EVV,stock,Financials,XLF,yfinance,
EVVTY,stock,Consumer Discretionary,XLY,yfinance,
EW,stock,Health Care,XLV,yfinance,
EWBC,stock,Financials,XLF,yfinance,
EWW,etf_broad,,EWW,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
EXAS,stock,Health Care,XLV,llm,
EXC,stock,Utilities,XLU,yfinance,
EXCU,unknown,,,none,
EXE,stock,Energy,XLE,yfinance,
EXEL,stock,Health Care,XLV,yfinance,
EXG,stock,Financials,XLF,yfinance,
EXLS,stock,Information Technology,XLK,yfinance,
EXP,stock,Materials,XLB,yfinance,
EXPD,stock,Industrials,XLI,yfinance,
EXPE,stock,Consumer Discretionary,XLY,yfinance,
EXPEA,stock,Industrials,XLI,llm,
EXPI,stock,Real Estate,XLRE,yfinance,
EXPO,stock,Industrials,XLI,yfinance,
EXPR,stock,Consumer Discretionary,XLY,llm,
EXR,stock,Real Estate,XLRE,yfinance,
EXTN,stock,Energy,XLE,llm,
EXXI,stock,Energy,XLE,llm,
EYE,stock,Consumer Discretionary,XLY,yfinance,
EZU,stock,Financials,XLF,llm,
F,stock,Consumer Discretionary,XLY,yfinance,
FAF,stock,Financials,XLF,yfinance,
FAN,stock,Utilities,XLU,llm,
FANG,stock,Energy,XLE,yfinance,
FANUF,stock,Industrials,XLI,yfinance,
FANUY,stock,Industrials,XLI,yfinance,
FARCX,unknown,,,none,
FAS,stock,Financials,XLF,llm,
FAST,stock,Industrials,XLI,yfinance,
FATE,stock,Health Care,XLV,yfinance,
FB,stock,Communication Services,XLC,llm,
FBALX,unknown,,,none,
FBC,stock,Financials,XLF,llm,
FBHS,stock,Industrials,XLI,llm,
FBIN,stock,Industrials,XLI,yfinance,
FBK,stock,Financials,XLF,yfinance,
FBKWX,unknown,,,none,
FBND,unknown,,,none,
FBP,stock,Financials,XLF,yfinance,
FBRT,stock,Real Estate,XLRE,yfinance,
FBSI,stock,Financials,XLF,yfinance,
FBT,stock,Health Care,XLV,llm,
FCEA,unknown,,,none,
FCEL,stock,Industrials,XLI,yfinance,
FCFS,stock,Financials,XLF,yfinance,
FCG,stock,Energy,XLE,llm,
FCGYF,stock,Energy,XLE,llm,
FCN,stock,Industrials,XLI,yfinance,
FCNCA,stock,Financials,XLF,yfinance,
FCNCB,stock,Financials,XLF,yfinance,
FCNTX,unknown,,,none,
FCPIX,unknown,,,none,
FCPT,stock,Real Estate,XLRE,yfinance,
FCS,stock,Information Technology,XLK,llm,
FCX,stock,Materials,XLB,yfinance,
FDC,stock,Information Technology,XLK,llm,
FDEV,unknown,,,none,
FDIS,stock,Consumer Discretionary,XLY,llm,
FDL,unknown,,,none,
FDM,unknown,,,none,
FDML,stock,Industrials,XLI,llm,
FDN,etf_sector,,XLK,manuel,ETF internet — reclassé d'action à ETF (2026-08-11)
FDO,stock,Consumer Staples,XLP,llm,
FDRR,stock,Real Estate,XLRE,llm,
FDRXX,unknown,,,none,
FDS,stock,Financials,XLF,yfinance,
FDSWX,unknown,,,none,
FDUS,stock,Financials,XLF,yfinance,
FDX,stock,Industrials,XLI,yfinance,
FE,stock,Utilities,XLU,yfinance,
FEI,unknown,,,none,
FEIC,stock,Information Technology,XLK,llm,
FEMS,unknown,,,none,
FEP,unknown,,,none,
FEPIX,unknown,,,none,
FERG,stock,Industrials,XLI,yfinance,
FES,stock,Utilities,XLU,llm,
FET,stock,Energy,XLE,yfinance,
FEYE,stock,Information Technology,XLK,llm,
FEZ,unknown,,,none,
FF,stock,Materials,XLB,yfinance,
FFBC,stock,Financials,XLF,yfinance,
FFG,stock,Financials,XLF,llm,
FFHRX,unknown,,,none,
FFIN,stock,Financials,XLF,yfinance,
FFIV,stock,Information Technology,XLK,yfinance,
FFKT,stock,Financials,XLF,llm,
FFRHX,unknown,,,none,
FGBI,stock,Financials,XLF,yfinance,
FGP,stock,Energy,XLE,llm,
FGSCX,unknown,,,none,
FHB,stock,Financials,XLF,yfinance,
FHLC,stock,Health Care,XLV,llm,
FHN,stock,Financials,XLF,yfinance,
FHYS,unknown,,,none,
FI,stock,Financials,XLF,llm,
FIASX,unknown,,,none,
FIBK,stock,Financials,XLF,yfinance,
FICO,stock,Information Technology,XLK,yfinance,
FIG,stock,Information Technology,XLK,yfinance,
FIGS,stock,Consumer Discretionary,XLY,yfinance,
FIHL,stock,Financials,XLF,yfinance,
FII,stock,Financials,XLF,llm,
FIKMX,unknown,,,none,
FIMKX,unknown,,,none,
FINL,stock,Consumer Discretionary,XLY,llm,
FINMF,stock,Industrials,XLI,yfinance,
FINMY,stock,Industrials,XLI,yfinance,
FINV,stock,Financials,XLF,yfinance,
FINX,stock,Financials,XLF,llm,
FIP,stock,Industrials,XLI,yfinance,
FIS,stock,Information Technology,XLK,yfinance,
FISI,stock,Financials,XLF,yfinance,
FISV,stock,Financials,XLF,llm,
FIT,stock,Consumer Discretionary,XLY,llm,
FITB,stock,Financials,XLF,yfinance,
FIVE,stock,Consumer Discretionary,XLY,yfinance,
FIVN,stock,Information Technology,XLK,yfinance,
FIX,stock,Industrials,XLI,yfinance,
FIXD,unknown,,,none,
FIZZ,stock,Consumer Staples,XLP,yfinance,
FJTSY,stock,Information Technology,XLK,yfinance,
FL,stock,Consumer Discretionary,XLY,llm,
FLA,unknown,,,none,
FLCB,unknown,,,none,
FLCO,unknown,,,none,
FLEX,stock,Information Technology,XLK,yfinance,
FLGB,unknown,,,none,
FLIR,stock,Information Technology,XLK,llm,
FLL,stock,Consumer Discretionary,XLY,yfinance,
FLMVX,unknown,,,none,
FLNG,stock,Energy,XLE,yfinance,
FLO,stock,Consumer Staples,XLP,yfinance,
FLQL,unknown,,,none,
FLR,stock,Industrials,XLI,yfinance,
FLRN,unknown,,,none,
FLS,stock,Industrials,XLI,yfinance,
FLT,stock,Financials,XLF,llm,
FLTX,stock,Industrials,XLI,llm,
FLWS,stock,Consumer Discretionary,XLY,yfinance,
FLXN,stock,Health Care,XLV,llm,
FLY,stock,Industrials,XLI,yfinance,
FLYW,stock,Information Technology,XLK,yfinance,
FMAO,stock,Financials,XLF,yfinance,
FMAT,stock,Materials,XLB,llm,
FMBA,unknown,,,none,
FMBI,stock,Financials,XLF,llm,
FMC,stock,Materials,XLB,yfinance,
FMCMF,stock,Consumer Staples,XLP,llm,
FMCSX,unknown,,,none,
FMER,stock,Financials,XLF,llm,
FMS,stock,Health Care,XLV,yfinance,
FMX,stock,Consumer Staples,XLP,yfinance,
FN,stock,Information Technology,XLK,yfinance,
FNA,stock,Financials,XLF,llm,
FNB,stock,Financials,XLF,yfinance,
FNBC,stock,Financials,XLF,llm,
FND,stock,Consumer Discretionary,XLY,yfinance,
FNF,stock,Financials,XLF,yfinance,
FNFN,stock,Financials,XLF,llm,
FNFV-V,stock,Financials,XLF,llm,
FNGN,stock,Health Care,XLV,llm,
FNI,stock,Industrials,XLI,llm,
FNKO,stock,Consumer Discretionary,XLY,yfinance,
FNMA,stock,Financials,XLF,yfinance,
FNMAJ,stock,Financials,XLF,yfinance,
FNSR,stock,Information Technology,XLK,llm,
FNSXX,unknown,,,none,
FNV,stock,Materials,XLB,yfinance,
FOE,stock,Materials,XLB,llm,
FOEAF,stock,Energy,XLE,llm,
FOJCF,stock,Utilities,XLU,yfinance,
FOLD,stock,Health Care,XLV,llm,
FOR,stock,Real Estate,XLRE,yfinance,
FOSL,stock,Consumer Discretionary,XLY,yfinance,
FOUR,stock,Information Technology,XLK,yfinance,
FOX,stock,Communication Services,XLC,yfinance,
FOXA,stock,Communication Services,XLC,yfinance,
FOXF,stock,Consumer Discretionary,XLY,yfinance,
FPAFY,stock,Consumer Staples,XLP,yfinance,
FPE,stock,Financials,XLF,llm,
FPEI,stock,Financials,XLF,llm,
FPI,stock,Real Estate,XLRE,yfinance,
FPL,unknown,,,none,
FPX,stock,Consumer Discretionary,XLY,llm,
FQAL,unknown,,,none,
FQVLF,stock,Materials,XLB,yfinance,
FR,stock,Real Estate,XLRE,yfinance,
FRC,stock,Financials,XLF,llm,
FRCOY,stock,Consumer Discretionary,XLY,yfinance,
FRFHF,stock,Financials,XLF,yfinance,
FRIAX,unknown,,,none,
FRO,stock,Energy,XLE,yfinance,
FRPT,stock,Consumer Staples,XLP,yfinance,
FRRVY,stock,Industrials,XLI,llm,
FRT,stock,Real Estate,XLRE,yfinance,
FSCI,stock,Health Care,XLV,llm,
FSD,stock,Financials,XLF,llm,
FSFR,stock,Financials,XLF,llm,
FSK,stock,Financials,XLF,yfinance,
FSKR,stock,Financials,XLF,llm,
FSLR,stock,Information Technology,XLK,yfinance,
FSLY,stock,Information Technology,XLK,yfinance,
FSMDX,unknown,,,none,
FSNUY,stock,Health Care,XLV,yfinance,
FSP,stock,Real Estate,XLRE,yfinance,
FSR,stock,Consumer Discretionary,XLY,llm,
FSS,stock,Industrials,XLI,yfinance,
FSSL,stock,Information Technology,XLK,llm,
FSTFX,unknown,,,none,
FSTR,stock,Industrials,XLI,yfinance,
FSUGY,stock,Materials,XLB,yfinance,
FSV,stock,Real Estate,XLRE,yfinance,
FTA,stock,Financials,XLF,llm,
FTAI,stock,Industrials,XLI,yfinance,
FTBFX,unknown,,,none,
FTBXL,stock,Financials,XLF,llm,
FTCH,stock,Consumer Discretionary,XLY,llm,
FTD,stock,Consumer Discretionary,XLY,llm,
FTDR,stock,Consumer Discretionary,XLY,yfinance,
FTEC,stock,Information Technology,XLK,llm,
FTGC,etf_broad,,FTGC,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
FTI,stock,Energy,XLE,yfinance,
FTK,stock,Energy,XLE,yfinance,
FTNT,stock,Information Technology,XLK,yfinance,
FTR,stock,Communication Services,XLC,llm,
FTRE,stock,Health Care,XLV,yfinance,
FTS,stock,Utilities,XLU,yfinance,
FTSI,stock,Energy,XLE,llm,
FTSM,unknown,,,none,
FTV,stock,Information Technology,XLK,yfinance,
FTVW,unknown,,,none,
FUBO,stock,Communication Services,XLC,yfinance,
FUJHY,stock,Consumer Discretionary,XLY,yfinance,
FUJIY,stock,Industrials,XLI,yfinance,
FUL,stock,Materials,XLB,yfinance,
FULT,stock,Financials,XLF,yfinance,
FUN,stock,Consumer Discretionary,XLY,yfinance,
FUND,stock,Financials,XLF,yfinance,
FUPBY,stock,Materials,XLB,yfinance,
FUR,stock,Real Estate,XLRE,llm,
FV,unknown,,,none,
FVD,unknown,,,none,
FVRR,stock,Communication Services,XLC,yfinance,
FWONA,stock,Communication Services,XLC,yfinance,
FWONK,stock,Communication Services,XLC,yfinance,
FWRG,stock,Consumer Discretionary,XLY,yfinance,
FXB,stock,Financials,XLF,llm,
FXC,stock,Financials,XLF,llm,
FXD,stock,Consumer Discretionary,XLY,llm,
FXENP,stock,Energy,XLE,llm,
FXG,stock,Consumer Staples,XLP,llm,
FXH,stock,Health Care,XLV,llm,
FXI,etf_broad,,FXI,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
FXN,stock,Energy,XLE,llm,
FXP,stock,Financials,XLF,llm,
G,stock,Information Technology,XLK,yfinance,
GAMR,stock,Communication Services,XLC,llm,
GAN,stock,Communication Services,XLC,llm,
GAP,stock,Consumer Discretionary,XLY,yfinance,
GARPF,stock,Consumer Staples,XLP,yfinance,
GAS,stock,Utilities,XLU,llm,
GASNY,stock,Utilities,XLU,yfinance,
GATX,stock,Industrials,XLI,yfinance,
GBCI,stock,Financials,XLF,yfinance,
GBDC,stock,Financials,XLF,yfinance,
GBERY,stock,Industrials,XLI,yfinance,
GBIL,unknown,,,none,
GBNE,unknown,,,none,
GBOOY,stock,Financials,XLF,yfinance,
GBT,stock,Health Care,XLV,llm,
GBTC,etf_broad,,GBTC,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
GBTZY,stock,Financials,XLF,llm,
GBX,stock,Industrials,XLI,yfinance,
GCAP,stock,Financials,XLF,llm,
GCBC,stock,Financials,XLF,yfinance,
GCGMF,stock,Financials,XLF,llm,
GCI,stock,Communication Services,XLC,llm,
GCO,stock,Consumer Discretionary,XLY,yfinance,
GCP,stock,Materials,XLB,llm,
GCVRZ,stock,Health Care,XLV,llm,
GD,stock,Industrials,XLI,yfinance,
GDDY,stock,Information Technology,XLK,yfinance,
GDEN,stock,Consumer Discretionary,XLY,yfinance,
GDRX,stock,Health Care,XLV,yfinance,
GDV,stock,Financials,XLF,yfinance,
GDX,etf_broad,,GDX,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
GDXJ,etf_broad,,GDXJ,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
GE,stock,Industrials,XLI,yfinance,
GEAGY,stock,Industrials,XLI,llm,
GEER,unknown,,,none,
GEHC,stock,Health Care,XLV,yfinance,
GEHCV,stock,Health Care,XLV,llm,
GEL,stock,Energy,XLE,yfinance,
GEM,stock,Financials,XLF,llm,
GEMIX,unknown,,,none,
GEN,stock,Information Technology,XLK,yfinance,
GENI,stock,Communication Services,XLC,yfinance,
