ticker,in_prices_v2,in_prices_holdings,in_prices
CRRFY,1,0,1
CRS,1,0,1
CRSOX,0,1,0
CRSP,1,0,1
CRT,1,0,1
CRTO,1,0,1
CRUS,1,0,1
CRVL,0,1,0
CRVO,0,0,1
CRWD,1,0,1
CRWV,1,0,1
CRY,1,0,1
CRZBY,1,0,1
CSA,0,1,0
CSAN,0,0,1
CSCO,1,0,1
CSCZX,0,1,0
CSD,1,0,0
CSDIX,0,1,0
CSE,1,0,0
CSEIX,0,1,0
CSGP,1,0,1
CSGS,0,1,0
CSGZX,0,1,0
CSH,1,0,0
CSHIX,0,1,0
CSIQ,1,0,1
CSJ,1,0,0
CSJZX,0,1,0
CSL,1,0,1
CSLLY,1,0,1
CSOIX,0,1,0
CSPAX,0,1,0
CSPCY,1,0,1
CSQ,1,0,1
CSR,0,1,0
CSRA,1,0,1
CSRSX,0,1,0
CSTAF,0,0,1
CSTL,1,0,1
CSTM,1,0,1
CSUAY,1,0,0
CSV,1,0,1
CSVIX,0,1,0
CSVZX,0,1,0
CSW,1,0,1
CSX,1,0,1
CT,1,0,0
CTAA,1,0,1
CTAS,1,0,1
CTBI,1,0,1
CTLAX,0,1,0
CTO,1,0,0
CTRA,1,0,1
CTRE,1,0,1
CTRM,1,0,1
CTRZX,0,1,0
CTS,1,0,1
CTSH,1,0,1
CTTAY,1,0,1
CTTIX,0,1,0
CTVA,1,0,1
CUAEF,1,0,1
CUB,0,1,1
CUBE,1,0,1
CUBI,0,1,0
CUBIX,0,1,0
CUK,1,0,1
CULP,1,0,1
CURI,1,0,0
CUSUX,0,1,0
CUT,0,1,0
CUTAX,0,1,0
CUZ,1,0,1
CVAR,0,1,0
CVBF,1,0,0
CVCO,1,0,1
CVE,1,0,1
CVG,1,0,1
CVGI,0,1,0
CVGRX,0,1,0
CVGW,1,0,1
CVI,1,0,1
CVLT,1,0,1
CVMIX,0,1,0
CVNA,1,0,1
CVR,1,0,1
CVRR,1,0,0
CVS,1,0,1
CVTRX,0,1,0
CVX,1,0,1
CW,1,0,1
CWB,1,0,1
CWBFX,0,1,0
CWEN,1,0,1
CWEN-A,0,0,1
CWGCX,0,1,0
CWGFX,0,1,0
CWGIX,0,1,0
CWGL,1,0,1
CWH,1,0,1
CWI,0,1,0
CWK,1,0,1
CWMAX,0,1,0
CWSIX,0,1,0
CWST,1,0,1
CWT,0,1,0
CX,1,0,1
CXAI,0,0,1
CXW,1,0,1
CYAN,0,1,1
CYH,1,0,0
CYN,1,0,0
CYRX,1,0,1
CYS,1,0,1
CYTK,1,0,1
CZMSX,0,1,0
CZMVX,0,1,0
CZMWY,1,0,1
CZR,1,0,1
CZWI,0,0,1
D,1,0,1
DAIUF,1,0,1
DAKT,1,0,1
DAL,1,0,1
DALCX,1,0,1
DAN,1,0,1
DANOY,1,0,1
DAO,0,0,1
DAPR,0,1,0
DAR,1,0,1
DARXX,0,1,0
DASCX,0,1,0
DASH,1,0,1
DASTY,1,0,1
DAVA,1,0,1
DB,1,0,1
DBA,1,0,1
DBB,1,0,0
DBC,0,1,0
DBD,1,0,1
DBEF,1,0,1
DBEU,0,1,0
DBI,1,0,0
DBIRX,0,1,0
DBLEX,1,0,0
DBLFX,0,1,0
DBLLX,0,1,0
DBLSX,0,1,0
DBLTX,0,1,0
DBMF,0,1,0
DBOEY,1,0,1
DBP,1,0,1
DBRG,1,0,1
DBSDF,1,0,1
DBSDY,1,0,1
DBVT,1,0,0
DBX,1,0,1
DC,0,1,0
DCBO,0,0,1
DCCIX,0,1,0
DCI,1,0,1
DCMSX,0,1,0
DCO,1,0,1
DCTH,1,0,1
DCUSX,0,1,0
DCXIX,0,1,0
DD,1,0,1
DDD,1,0,1
DDFIX,0,1,0
DDFLX,0,1,0
DDIFX,0,1,0
DDOG,1,0,1
DDR,1,0,1
DDS,1,0,1
DDVAX,0,1,0
DDVIX,0,1,0
DE,1,0,1
DEA,1,0,1
DECK,1,0,1
DEHP,0,1,0
DEI,1,0,1
DEL,1,0,1
DELL,1,0,1
DEM,1,0,0
DEMSX,0,1,0
DEMZ,0,1,0
DEO,1,0,1
DEQIX,0,1,0
DERM,1,0,0
DES,0,1,0
DEVLX,0,1,0
DEW,0,1,0
DFAC,0,1,0
DFAE,0,1,0
DFAI,0,1,0
DFALX,0,1,0
DFAPX,0,1,0
DFAR,0,1,0
DFAS,1,0,0
DFAT,0,1,0
DFAU,0,1,0
DFAX,0,1,0
DFCEX,0,1,0
DFCF,0,1,0
DFDIX,0,1,0
DFDSX,0,1,0
DFE,0,1,0
DFEMX,0,1,0
DFEOX,0,1,0
DFEQX,0,1,0
DFESX,0,1,0
DFEVX,0,1,0
DFFVX,0,1,0
DFGEX,0,1,0
DFGFX,0,1,0
DFGR,0,1,0
DFGX,0,1,0
DFIC,1,0,0
DFIEX,0,1,0
DFIHX,0,1,0
DFIN,1,0,1
DFISX,0,1,0
DFIV,0,1,0
DFIVX,0,1,0
DFJ,0,1,0
DFKCY,1,0,1
DFLEX,0,1,0
DFLIX,0,1,0
DFLV,0,1,0
DFLVX,0,1,0
DFLYX,0,1,0
DFP,0,1,0
DFQTX,0,1,0
DFREX,1,0,0
DFSCX,0,1,0
DFSD,0,1,0
DFSIX,0,1,0
DFSPX,0,1,0
DFSTX,0,1,0
DFSV,0,1,0
DFSVX,0,1,0
DFTEX,0,1,0
DFTIX,0,1,0
DFUEX,0,1,0
DFUSX,0,1,0
DFXIX,0,1,0
DG,1,0,1
DGAGX,0,1,0
DGCFX,0,1,0
DGCIX,0,1,0
DGEAF,0,1,0
DGEIX,0,1,0
DGFAX,0,1,0
DGII,0,1,0
DGOYX,0,1,0
DGRIX,0,1,0
DGRO,1,0,1
DGRS,0,1,1
DGRW,0,1,0
DGS,1,0,0
DGSIX,0,1,0
DGX,1,0,1
DHC,1,0,0
DHI,1,0,1
DHLGY,1,0,1
DHLRX,0,1,0
DHR,1,0,1
DHS,1,0,1
DHSIX,0,1,0
DHX,1,0,1
DHYYX,0,1,0
DIA,1,0,1
DIAL,1,0,1
DIEMX,0,1,0
DIFTY,1,0,1
DIHRX,0,1,0
DILRX,0,1,0
DIN,1,0,1
DINO,1,0,1
DIOD,1,0,1
DIPSX,0,1,0
DIS,1,0,1
DISMX,0,1,0
DISRX,0,1,0
DISV,0,1,0
DISVX,0,1,0
DISYX,0,1,0
DIV,1,0,1
DIVO,0,1,0
DJIA,0,1,0
DJP,1,0,0
DJT,1,0,1
DK,1,0,1
DKILY,1,0,1
DKL,1,0,0
DKNG,1,0,1
DKS,1,0,1
DLAKY,1,0,1
DLB,1,0,1
DLDRX,0,1,0
DLHIX,0,1,0
DLHRX,0,1,0
DLICY,1,0,1
DLN,1,0,0
DLR,1,0,1
DLS,0,1,1
DLTH,1,0,0
DLTNX,0,1,0
DLTR,1,0,1
DLX,1,0,1
DMAY,0,1,0
DMCRX,0,1,0
DMIDX,0,1,0
DMLP,1,0,1
DMRC,1,0,1
DMREX,0,1,0
DMVYX,0,1,0
DMXF,0,1,0
DNBBY,1,0,1
DNNGY,1,0,1
DNO,1,0,1
DNOW,1,0,1
DNPLY,1,0,1
DNTUF,0,1,0
DNTUY,1,0,1
DNUT,1,0,1
DNZOY,1,0,1
DOC,1,0,1
DOCN,0,1,0
DOCS,1,0,1
DOCU,1,0,1
DODBX,0,1,0
DODFX,1,0,0
DODGX,1,0,0
DODIX,0,1,0
DODLX,0,1,0
DODWX,1,0,0
DOG,0,1,0
DOM,0,1,1
DOMIX,0,1,0
DOMO,1,0,1
DOMYX,0,1,0
DON,0,1,0
DORM,1,0,1
DOV,1,0,1
DOW,1,0,1
DOX,1,0,1
DOXFX,0,1,0
DOXIX,0,1,0
DPDFX,0,1,0
DPFFX,0,1,0
DPG,1,0,1
DPIIX,0,1,0
DPLS,0,1,0
DPUYX,0,1,0
DPZ,1,0,1
DQ,1,0,1
DQIRX,0,1,0
DQJCY,1,0,1
DRD,0,0,1
DRECX,0,1,0
DREGX,0,1,0
DRGVX,0,1,0
DRGYX,0,1,0
DRH,1,0,1
DRI,1,0,1
DRIJX,0,1,0
DRLL,0,1,0
DRLYX,0,1,0
DRPEX,0,1,0
DRPRY,1,0,1
DRRYX,0,1,0
DRS,1,0,1
DRSK,0,1,0
DRUNF,0,1,0
DRYQX,0,1,0
DSBIX,0,1,0
DSCGX,0,1,0
DSCLX,0,1,0
DSCO,0,0,1
DSCSY,1,0,1
DSDVY,1,0,1
DSENX,0,1,0
DSGX,1,0,1
DSGYX,0,1,0
DSI,0,1,0
DSKYF,1,0,1
DSL,0,1,0
DSM,0,1,0
DSNKY,1,0,1
DSPIX,0,1,0
DSS,0,0,1
DST,0,0,1
DSU,1,0,1
DT,1,0,1
DTCWY,0,1,0
DTD,1,0,1
DTE,1,0,1
DTEGF,0,1,0
DTEGY,1,0,1
DTM,1,0,1
DTN,1,0,1
DTO,1,0,1
DTRUY,1,0,1
DTY,0,0,1
DUHP,0,1,0
DUK,1,0,1
DUKH,1,0,1
DUOL,1,0,1
DURA,1,0,1
DURPX,0,1,0
DUSA,1,0,1
DUSB,0,1,0
DUSLX,0,1,0
DV,1,0,0
DVA,1,0,1
DVDCF,0,1,0
DVFAX,1,0,1
DVHIX,0,1,0
DVMT,1,0,1
DVN,1,0,1
DVP,0,1,0
DVY,1,0,1
DWAHY,1,0,1
DWAS,0,1,0
DWOAX,0,1,0
DWX,1,0,1
DXC,1,0,1
DXCM,1,0,1
DXJ,1,0,0
DXLG,0,0,1
DXPE,0,1,0
DY,1,0,1
DYN,0,1,0
DYNF,0,1,0
DYYPX,0,1,0
E,1,0,1
EA,1,0,1
EAAFX,0,1,0
EACFX,0,1,0
EADSY,1,0,1
EAF,1,0,1
EAFAX,0,1,0
EAGG,0,1,0
EAISX,0,1,0
EAOR,0,1,0
EAT,1,0,1
EBAY,1,0,1
EBF,1,0,1
EBKDY,1,0,1
EBND,0,1,0
EBS,1,0,1
EC,1,0,1
ECBK,0,1,0
ECHO,0,0,1
ECL,1,0,1
ECOAX,0,1,0
ECOIX,0,1,0
ECON,0,1,0
ECPG,1,0,1
ECPN,0,1,0
ECSWX,0,1,0
ED,1,0,1
EDD,0,1,0
EDIT,1,0,1
EDPFY,1,0,1
EDU,1,0,1
EDV,0,1,0
EEFT,1,0,1
EEIAX,0,1,0
EELV,0,1,1
EEM,1,0,1
EEMA,0,1,0
EEMV,0,1,0
EEMX,0,1,0
EEP,1,0,1
EEQ,1,0,1
EEX,1,0,1
EF,0,1,0
EFA,1,0,1
EFAD,0,0,1
EFAV,1,0,1
EFAX,0,1,0
EFC,1,0,1
EFG,1,0,1
EFOI,0,1,0
EFV,1,0,1
EFX,1,0,1
EG,1,0,1
EGBN,1,0,1
EGFFX,0,1,0
EGFIX,0,1,0
EGHT,1,0,1
EGIEY,1,0,1
EGN,0,1,1
EGO,1,0,1
EGOAX,0,1,0
EGP,1,0,1
EGRIX,0,1,0
EGRSX,0,1,0
EGRX,0,1,0
EGWAX,0,1,0
EGY,1,0,1
EHC,1,0,1
EHSTX,0,1,0
EI,0,0,1
EIBIX,0,1,0
EIBLX,0,1,0
EICOX,0,1,0
EIFAX,0,1,0
EIFHX,0,1,0
EIG,1,0,1
EIGMX,0,1,0
EIGOX,0,1,0
EIHMX,0,1,0
EILDX,0,1,0
EILVX,0,1,0
EIPI,1,0,1
EIRRX,0,1,0
EIS,0,0,1
EISIX,0,1,0
EISMX,0,1,0
EITEX,0,1,0
EIVAX,0,1,0
EIVIX,0,1,0
EIX,1,0,1
EJPRY,1,0,1
EKJYX,0,1,0
EKOAX,0,1,0
EL,1,0,1
ELA,0,0,1
ELAN,1,0,1
ELCV,0,1,0
ELD,0,1,0
ELF,1,0,1
ELLO,0,0,1
ELMD,0,1,0
ELON,0,1,0
ELPC,0,0,1
ELS,1,0,1
ELU,1,0,0
ELUXY,1,0,1
ELV,1,0,1
ELVN,0,0,1
EMA,0,0,1
EMAG,0,1,0
EMB,1,0,1
EMBC,0,1,0
EMBIX,0,1,0
EMBOX,0,1,0
EMC,1,0,1
EMD,1,0,0
EME,1,0,1
EMES,1,0,0
EMF,0,0,1
EMGF,1,0,1
EMGNX,0,1,0
EMKIX,0,1,0
EML,1,0,0
EMLC,1,0,1
EMLP,1,0,1
EMN,1,0,1
EMOIX,0,1,0
EMR,1,0,1
EMRZX,1,0,0
EMTIX,0,1,0
EMTL,1,0,0
EMXC,1,0,1
ENB,1,0,1
ENBP,1,0,1
ENGGY,1,0,1
ENGIY,1,0,1
ENGQF,1,0,1
ENIC,1,0,0
ENLAY,1,0,1
ENLK,1,0,1
ENPH,1,0,1
ENR,1,0,1
ENS,1,0,1
ENSG,0,1,1
ENTA,1,0,1
ENTG,1,0,1
ENTR,1,0,1
ENVA,1,0,1
ENVX,1,0,1
EOG,1,0,1
EOLS,0,0,1
EONGY,1,0,1
EOS,0,1,0
EOSE,0,1,0
EPAC,1,0,1
EPAM,1,0,1
EPC,0,1,0
EPD,1,0,1
EPP,1,0,1
EPR,1,0,1
EPRT,1,0,1
EQ,0,1,0
EQAL,0,1,0
EQGP,1,0,1
EQH,1,0,1
EQIIX,0,1,0
EQIX,1,0,1
EQNR,1,0,1
EQPGX,0,1,0
EQR,1,0,1
EQT,1,0,1
EQTIX,0,1,0
ERAS,0,0,1
ERBIX,0,1,0
ERH,1,0,1
ERIC,1,0,1
ERIE,1,0,1
ERII,1,0,1
ERX,0,1,0
ES,1,0,1
ESCJX,0,1,0
ESE,1,0,1
ESGD,1,0,0
ESGE,0,1,0
ESGU,1,0,1
ESGV,0,1,0
ESGYX,0,1,0
ESI,1,0,1
ESICX,0,1,0
ESIDX,0,1,0
ESIIX,0,1,0
ESIO,0,1,0
ESLOY,1,0,1
ESLT,0,1,0
ESML,0,1,0
ESNC,0,1,0
ESNT,1,0,1
ESPNX,0,1,0
ESPR,1,0,0
ESRT,1,0,1
ESRX,1,0,1
ESS,1,0,1
ESTC,1,0,1
ESVIF,0,1,0
ET,1,0,1
ETG,1,0,1
ETH,0,1,0
ETHE,0,1,1
ETHO,0,1,0
ETIDX,0,1,0
ETIHX,0,1,0
ETILX,0,1,0
ETIMX,0,1,0
ETN,1,0,1
ETOR,1,0,1
ETP,1,0,1
ETR,1,0,1
ETSY,1,0,1
ETV,1,0,1
ETY,1,0,1
EUFN,0,1,0
EUO,1,0,1
EUROX,0,1,0
EV,1,0,1
EVER,0,1,0
EVERX,0,1,0
EVEX,0,0,1
EVGIX,0,1,0
EVH,1,0,1
EVHC,0,1,1
EVIBX,0,1,0
EVN,0,1,0
EVR,1,0,1
EVRG,1,0,1
EVSD,0,1,0
EVT,1,0,1
EVTC,1,0,1
EVTMX,0,1,0
EVV,1,0,1
EVVTY,1,0,1
EW,1,0,1
EWA,1,0,0
EWBC,1,0,1
EWC,1,0,0
EWD,0,1,0
EWG,0,1,0
EWH,0,1,0
EWI,0,1,0
EWJ,1,0,0
EWL,0,1,0
EWP,0,1,0
EWQ,0,1,0
EWS,0,1,0
EWT,0,1,0
EWU,1,0,0
EWW,1,0,0
EWY,1,0,0
EWZ,0,1,0
EX,1,0,0
EXC,1,0,1
EXE,1,0,1
EXEL,1,0,1
EXFY,1,0,0
EXG,1,0,1
EXI,0,1,0
EXK,1,0,0
EXLS,1,0,1
EXP,1,0,1
EXPD,1,0,1
EXPE,1,0,1
EXPGF,0,1,0
EXPGY,1,0,0
EXPI,1,0,1
EXPO,1,0,1
EXR,1,0,1
EXTGX,0,1,0
EXTR,0,1,0
EYE,1,0,1
EZU,1,0,1
F,1,0,1
FAARX,0,1,0
FAC,1,0,0
FACGX,0,1,0
FAF,1,0,1
FAFGX,0,1,0
FAFRX,0,1,0
FAFTX,0,1,0
FAGCX,0,1,0
FAGIX,0,1,0
FAGOX,0,1,0
FAIFX,0,1,0
FAIOX,0,1,0
FAIRX,1,0,0
FALN,0,1,0
FAMRX,0,1,0
FAN,1,0,1
FANG,1,0,1
FANUF,1,0,1
FANUY,1,0,1
FAQIX,0,1,0
FARCX,0,1,1
FAS,1,0,1
FASIX,0,1,0
FAST,1,0,1
FATE,1,0,1
FAUDX,0,1,0
FAUYX,0,1,0
FAX,0,1,0
FB,0,0,1
FBAFX,0,1,0
FBAKX,0,1,0
FBALX,0,1,1
FBCG,0,1,0
FBCIX,0,1,0
FBCVX,0,1,0
FBDAX,0,1,0
FBGKX,0,1,0
FBGRX,0,1,0
FBIIX,0,1,0
FBIN,1,0,1
FBIOX,0,1,0
FBK,1,0,1
FBKWX,0,1,1
FBLAX,0,1,0
FBLTX,0,1,0
FBNC,0,1,0
FBND,1,0,1
FBNDX,0,1,0
FBNRX,0,1,0
FBODX,0,1,0
FBP,1,0,1
FBRT,1,0,1
FBRX,0,1,0
FBSAX,0,1,0
FBSI,1,0,1
FBSOX,0,1,0
FBT,1,0,1
FBTC,0,1,0
FBTCX,0,1,0
FCBFX,0,1,0
FCBIX,0,1,0
FCEL,1,0,1
FCFS,1,0,1
FCG,1,0,1
FCGAX,0,1,0
FCHIX,0,1,0
FCIGX,0,1,0
FCIUX,0,1,0
FCLAX,0,1,0
FCLCX,0,1,0
FCLIX,0,1,0
FCN,1,0,1
FCNCA,1,0,1
FCNKX,0,1,0
FCNTX,1,0,1
FCOM,0,1,0
FCPGX,0,1,0
FCPIX,1,0,1
FCPT,1,0,1
FCPVX,0,1,0
FCSZX,0,1,0
FCTDX,0,1,0
FCTR,0,1,0
FCVSX,0,1,0
FCWGX,0,1,0
FCX,1,0,1
FDAAX,0,1,0
FDBC,0,1,0
FDCAX,0,1,0
FDEGX,0,1,0
FDEQX,0,1,0
FDEV,1,0,1
FDFAX,0,1,0
FDFFX,0,1,0
FDFIX,0,1,0
FDGFX,0,1,0
FDGKX,0,1,0
FDGRX,0,1,0
FDIGX,0,1,0
FDIKX,0,1,0
FDIS,1,0,1
FDIVX,0,1,0
FDL,1,0,1
FDLO,0,1,0
FDLS,0,1,0
FDLSX,0,1,0
FDM,1,0,1
FDMO,0,1,0
FDN,1,0,1
FDRR,1,0,1
FDS,1,0,1
FDSVX,0,1,0
FDSWX,1,0,0
FDT,0,1,0
FDTRX,0,1,0
FDUS,0,0,1
FDVLX,0,1,0
FDVV,0,1,0
FDWM,0,1,0
FDX,1,0,1
FDYZX,0,1,0
FE,1,0,1
FEBIX,0,1,0
FECMX,0,1,0
FEDDX,0,1,0
FEHIX,0,1,0
FEIFX,0,1,0
FELE,0,1,0
FELTY,0,1,0
FEM,0,1,0
FEMKX,0,1,0
FEMS,0,1,0
FENI,0,1,0
FENY,0,1,0
FEP,1,0,0
FEPIX,0,1,1
FEQIX,0,1,0
FEQTX,0,1,0
FERG,1,0,1
FERGX,0,1,0
FERIX,0,1,0
FESGX,0,1,0
FET,1,0,1
FEUPX,0,1,0
FEVIX,0,1,0
FEXPX,0,1,0
FEZ,1,0,1
FF,1,0,1
FFBC,1,0,1
FFBOX,0,1,0
FFEGX,0,1,0
FFEU,0,1,0
FFFEX,0,1,0
FFFFX,0,1,0
FFFGX,0,1,0
FFGIX,0,1,0
FFHRX,0,1,0
FFIDX,0,1,0
FFIN,1,0,1
FFIV,1,0,1
FFIZX,0,1,0
FFKT,0,0,1
FFLC,0,1,0
FFLG,0,1,0
FFODX,0,1,0
FFOPX,0,1,0
FFRHX,0,1,0
FFRIX,0,1,0
FFXFX,0,1,0
FGBI,1,0,1
FGBMX,0,1,0
FGCKX,0,1,0
FGD,0,1,0
FGIPX,0,1,0
FGIYX,0,1,0
FGM,0,1,0
FGNSX,0,1,0
FGOMX,0,1,0
FGOVX,0,1,0
FGPR,1,0,0
FGRAX,0,1,0
FGRIX,0,1,0
FGROX,0,1,0
FGSCX,1,0,0
FGTXX,0,1,0
FGULX,0,1,0
FHARX,0,1,0
FHB,1,0,1
FHESX,0,1,0
FHHIX,0,1,0
FHI,0,1,0
FHJDX,0,1,0
FHLC,1,0,1
FHN,1,0,1
FHYS,1,0,1
FHYTX,0,1,0
FHYVX,0,1,0
FIBK,1,0,1
FICDX,0,1,0
FICO,1,0,1
FIDAX,0,1,0
FIDGX,0,1,0
FIDKX,0,1,0
FIDSX,0,1,0
FIDU,0,1,0
FIEUX,0,1,0
FIFGX,0,1,0
FIG,0,0,1
FIGRX,0,1,0
FIGS,0,0,1
FIGY,0,1,0
FIHBX,0,1,0
FIHFX,0,1,0
FIHL,1,0,1
FIHLX,0,1,0
FIIIX,0,1,0
FIIMX,0,1,0
FIJEX,0,1,0
FIKMX,0,1,1
FILFX,0,1,0
FIMKX,0,1,1
FINFX,0,1,0
FINGF,0,1,0
FINL,1,0,1
FINMF,1,0,1
FINMY,1,0,1
FINPX,0,1,0
FINSX,0,1,0
FINV,0,0,1
FINX,1,0,1
FIP,1,0,1
FIPDX,0,1,0
FIPFX,0,1,0
FIQIX,0,1,0
FIQZX,0,1,0
FIREX,0,1,0
FIS,1,0,1
FISI,1,0,1
FISV,0,0,1
FITB,1,0,1
FITFX,0,1,0
FITHX,0,1,0
FITIX,0,1,0
FITLX,0,1,0
FITZX,0,1,0
FIUIX,0,1,0
FIVE,1,0,1
FIVN,1,0,1
FIVUX,0,1,0
FIW,0,1,0
FIWGX,0,1,0
FIX,1,0,1
FIXD,1,0,0
FIZZ,1,0,1
FJPNX,0,1,0
FJRLX,0,1,0
FJTSY,1,0,1
FKACX,0,1,0
FKAIX,0,1,0
FKIDX,0,1,0
FKINX,0,1,0
FKIQX,0,1,0
FKTHX,0,1,0
FKTIX,0,1,0
FLA,0,0,1
FLAAX,0,1,0
FLAPX,0,1,0
FLCB,1,0,1
FLCEX,0,1,0
FLCNX,0,1,0
FLCO,1,0,1
FLCOX,0,1,0
FLEE,0,1,0
FLEX,1,0,1
FLG,1,0,0
FLGB,1,0,1
FLJP,1,0,0
FLL,1,0,1
FLLV,0,1,0
FLMB,0,1,0
FLMI,0,1,0
FLMVX,1,0,1
FLNG,1,0,1
FLO,1,0,1
FLOT,0,1,0
FLOTX,0,1,0
FLPSX,0,1,0
FLQL,1,0,1
FLQM,0,1,0
FLR,1,0,1
FLRN,0,1,1
FLS,1,0,1
FLSTX,0,1,0
FLTMX,0,1,0
FLTR,0,1,0
FLTRX,0,1,0
FLVCX,0,1,0
FLVEX,0,1,0
FLVIX,0,1,0
FLWS,1,0,1
FLXN,1,0,1
FLXR,0,1,0
FLXSX,0,1,0
FLY,1,0,1
FLYW,1,0,1
FMAGX,0,1,0
FMAO,1,0,1
FMAT,1,0,1
FMC,1,0,1
FMCC,0,1,0
FMCMF,0,1,0
FMCSX,0,1,0
FMHI,0,1,0
FMI,1,0,0
FMIHX,0,1,0
FMIJX,0,1,0
FMILX,0,1,0
FMIQX,0,1,0
FMIYX,0,1,0
FMMMX,0,1,0
FMS,1,0,1
FMSDX,0,1,0
FMSFX,0,1,0
FMUSX,0,1,0
FMX,1,0,1
FMYIX,0,1,0
FN,1,0,1
FNB,1,0,1
FNCL,0,1,0
FNCMX,0,1,0
FND,1,0,1
FNDA,0,1,0
FNDB,0,1,0
FNDC,0,1,0
FNDE,0,1,0
FNDF,0,1,0
FNDSX,0,1,0
FNDX,0,1,0
FNEEX,0,1,0
FNF,1,0,1
FNFWX,0,1,0
FNI,1,0,1
FNIAX,0,1,0
FNIDX,0,1,0
FNILX,0,1,0
FNITX,0,1,0
FNKO,1,0,1
FNLIX,0,1,0
FNMA,1,0,1
FNMAJ,1,0,1
FNMIX,0,1,0
FNODX,0,1,0
FNPFX,0,1,0
FNRAX,0,1,0
FNV,1,0,1
FNWFX,0,1,0
FOCPX,0,1,0
FOF,0,1,0
FOJCF,1,0,1
FOKFX,0,1,0
FOMNX,0,1,0
FOODX,0,1,0
FOR,1,0,1
FORM,0,1,0
FORR,0,1,0
FOSFX,0,1,0
FOSL,1,0,1
FOUR,1,0,1
FOX,1,0,1
FOXA,1,0,1
FOXF,1,0,1
FPACX,0,1,0
FPADX,0,1,0
FPAFY,1,0,1
FPBFX,0,1,0
FPCIX,0,1,0
FPE,1,0,1
FPEI,1,0,1
FPFD,0,1,0
FPFRX,0,1,0
FPHAX,0,1,0
FPI,1,0,1
FPINX,0,1,0
FPIVX,0,1,0
FPUIX,0,1,0
FPUKX,0,1,0
FPURX,0,1,0
FPX,1,0,1
FQAL,1,0,1
FQVLF,1,0,1
FR,1,0,1
FRCOY,1,0,1
FRCSX,0,1,0
FRCZX,0,1,0
FRD,0,1,0
FRDAX,0,1,0
FRDPX,0,1,0
FRDTX,0,1,0
FREL,0,1,0
FRESX,0,1,0
FRFHF,1,0,1
FRFZX,0,1,0
FRIAX,1,0,0
FRIFX,0,1,0
FRIRX,0,1,0
FRISX,0,1,0
FRO,1,0,1
FROGX,0,1,0
FROPX,0,1,0
FRPT,1,0,1
FRT,1,0,1
FRTSF,0,1,0
FRUAX,0,1,0
FSAGX,0,1,0
FSAJX,0,1,0
FSAKX,0,1,0
FSAMX,0,1,0
FSANX,0,1,0
FSAOX,0,1,0
FSCHX,0,1,0
FSCIX,0,1,0
FSCJX,0,1,0
FSCPX,0,1,0
FSCSX,0,1,0
FSDAX,0,1,0
FSDPX,0,1,0
FSEAX,0,1,0
FSELX,0,1,0
FSENX,0,1,0
FSESX,0,1,0
FSGAX,0,1,0
FSGGX,0,1,0
FSHAX,0,1,0
FSHBX,0,1,0
FSHGX,0,1,0
FSHIX,0,1,0
FSHOX,0,1,0
FSK,1,0,1
FSKAX,0,1,0
FSKLX,0,1,0
FSLEX,0,1,0
FSLR,1,0,1
FSLVX,0,1,0
FSLY,1,0,1
FSMAX,0,1,0
FSMDX,0,1,1
FSMNX,0,1,0
FSMVX,0,1,0
FSNUX,0,1,0
FSNUY,1,0,1
FSNVX,0,1,0
FSNZX,0,1,0
FSOXX,0,1,0
FSP,1,0,1
FSPCX,0,1,0
FSPGX,0,1,0
FSPHX,0,1,0
FSPSX,0,1,0
FSPTX,0,1,0
FSRBX,0,1,0
FSRIX,0,1,0
FSRJX,0,1,0
FSRNX,0,1,0
FSS,1,0,1
FSSL,1,0,1
FSSNX,0,1,0
FSST,0,1,0
FSTA,0,1,0
FSTFX,0,1,1
FSTR,1,0,1
FSTVX,0,1,0
FSUGY,1,0,1
FSUTX,0,1,0
FSV,1,0,1
FSZ,0,1,0
FTA,1,0,1
FTABX,0,1,0
FTAI,1,0,1
FTBFX,1,0,0
FTCHX,0,1,0
FTCS,0,1,0
FTDR,1,0,1
FTEC,1,0,1
FTGC,1,0,1
FTHNX,0,1,0
FTHRX,0,1,0
FTHSX,0,1,0
FTI,1,0,1
FTIHX,0,1,0
FTIXX,0,1,0
FTK,1,0,1
FTKFX,0,1,0
FTLRX,0,1,0
FTNT,1,0,1
FTQGX,0,1,0
FTQI,0,1,0
FTRBX,0,1,0
FTRE,1,0,1
FTS,1,0,1
FTSD,0,1,0
FTSL,0,1,0
FTSM,1,0,1
FTV,1,0,1
FTVSX,0,1,0
FTXL,0,1,0
FTXN,0,1,0
FTXR,0,1,0
FTXSX,0,1,0
FTZIX,0,1,0
FUAMX,0,1,0
FUBO,1,0,1
FUEMX,0,1,0
FUENX,0,1,0
FUEPX,0,1,0
FUFRX,0,1,0
FUJHY,1,0,1
FUJIY,1,0,1
FUL,1,0,1
FULIX,0,1,0
FULT,1,0,1
FUMBX,0,1,0
FUN,1,0,1
FUND,1,0,1
FUPBY,1,0,1
FUQIX,0,1,0
FURCF,0,1,0
FUSIX,0,1,0
FUTBX,0,1,0
FUTY,0,1,0
FV,1,0,0
FVADX,0,1,0
FVCAX,0,1,0
FVD,1,0,1
FVDFX,0,1,0
FVFRX,0,1,0
FVHIX,0,1,0
FVLKX,0,1,0
FVRR,1,0,1
FWMMX,0,1,0
FWONA,1,0,1
FWONK,1,0,1
FWRD,0,1,0
